MONTH,HEALTH_PROFESSIONAL_NAME,SUM(ALAN_COVERED),MONTH_NB,YEAR,PRIMARY_LEVEL_1
"1 Aug, 2022, 00:00",22 optics,"64,3",8,2022,Lentilles
"1 Dec, 2022, 00:00",22 optics,"175,6",12,2022,Lentilles
"1 Feb, 2023, 00:00",22 optics,"182,3",2,2023,Lentilles
"1 Mar, 2022, 00:00",abc optik,"201,91",3,2022,Lunettes
"1 Jun, 2022, 00:00",abc optik,"261,41",6,2022,Lunettes
"1 Jul, 2022, 00:00",abc optik,"227,41",7,2022,Lunettes
"1 oct., 2022, 00:00",abc optik,200,10,2022,Lentilles
"1 Dec, 2022, 00:00",abc optik,176,12,2022,Lentilles
"1 Dec, 2022, 00:00",abc optik,"449,91",12,2022,Lunettes
"1 Jan, 2023, 00:00",abc optik,"412,21",1,2023,Lunettes
"1 Feb, 2022, 00:00",Cool opticos,200,2,2022,Lentilles
"1 May, 2022, 00:00",Cool opticos,"259,91",5,2022,Lunettes
"1 Jun, 2022, 00:00",Cool opticos,"419,91",6,2022,Lunettes
"1 Jul, 2022, 00:00",Cool opticos,"359,91",7,2022,Lunettes
"1 oct., 2022, 00:00",Cool opticos,"259,91",10,2022,Lunettes
"1 nov., 2022, 00:00",Cool opticos,"714,36",11,2022,Lunettes
"1 Dec, 2022, 00:00",Cool opticos,"299,91",12,2022,Lunettes
"1 Mar, 2023, 00:00",Cool opticos,"999,82",3,2023,Lunettes
"1 Apr, 2023, 00:00",Cool opticos,"699,91",4,2023,Lunettes
"1 May, 2023, 00:00",Cool opticos,"419,91",5,2023,Lunettes
"1 Jun, 2023, 00:00",Cool opticos,"419,91",6,2023,Lunettes
"1 Jan, 2022, 00:00",Kylian's frames,"719,82",1,2022,Lunettes
"1 Jan, 2022, 00:00",Kylian's frames,249,1,2022,Lentilles
"1 Feb, 2022, 00:00",Kylian's frames,194,2,2022,Lentilles
"1 Feb, 2022, 00:00",Kylian's frames,"2894,28",2,2022,Lunettes
"1 Mar, 2022, 00:00",Kylian's frames,550,3,2022,Lentilles
"1 Apr, 2022, 00:00",Kylian's frames,180,4,2022,Lentilles
"1 Apr, 2022, 00:00",Kylian's frames,"999,82",4,2022,Lunettes
"1 May, 2022, 00:00",Kylian's frames,780,5,2022,Lentilles
"1 May, 2022, 00:00",Kylian's frames,"1539,73",5,2022,Lunettes
"1 Jun, 2022, 00:00",Kylian's frames,"1249,64",6,2022,Lunettes
